번호,이름,시간분류,형식/소재/세대,비주얼태그,전체라벨
20,Hide the Pain Harold,#고전 #스테디,#반응짤,#백발할아버지 #억지미소 #커피잔 #스톡사진,#고전 #스테디 #반응짤 #백발할아버지 #억지미소 #커피잔 #스톡사진
21,Bad Luck Brian,#고전 #스테디,#포맷,#교정기 #체크조끼 #증명사진 #금발 #어색한미소,#고전 #스테디 #포맷 #교정기 #체크조끼 #증명사진 #금발 #어색한미소
22,One Does Not Simply,#고전 #스테디,#포맷,#보로미르 #수염 #손가락제스처 #반지의제왕,#고전 #스테디 #포맷 #보로미르 #수염 #손가락제스처 #반지의제왕
23,Nyan Cat,#고전 #스테디,#GIF,#픽셀아트 #무지개꼬리 #팝타르트 #우주 #8비트,#고전 #스테디 #GIF #픽셀아트 #무지개꼬리 #팝타르트 #우주 #8비트
24,Sad Keanu,#고전 #스테디,#반응짤,#벤치 #샌드위치 #혼자 #고개숙임 #수염,#고전 #스테디 #반응짤 #벤치 #샌드위치 #혼자 #고개숙임 #수염
25,Leonardo DiCaprio Cheers,#고전 #스테디,#반응짤,#샴페인잔 #건배 #턱시도 #개츠비 #불꽃놀이,#고전 #스테디 #반응짤 #샴페인잔 #건배 #턱시도 #개츠비 #불꽃놀이
26,Success Kid,#고전 #스테디,#반응짤,#아기 #주먹쥐기 #해변 #모래 #결연한표정,#고전 #스테디 #반응짤 #아기 #주먹쥐기 #해변 #모래 #결연한표정
27,Pepe the Frog,#고전 #스테디,#감정,#초록개구리 #빨간입술 #큰눈,#고전 #스테디 #감정 #초록개구리 #빨간입술 #큰눈
28,Trollface,#고전 #스테디,#조롱,#흑백낙서 #능글미소 #큰입,#고전 #스테디 #조롱 #흑백낙서 #능글미소 #큰입
29,Disaster Girl,#고전 #스테디,#반응짤,#불타는집 #웃는여자아이 #화재 #미소 #소방차,#고전 #스테디 #반응짤 #불타는집 #웃는여자아이 #화재 #미소 #소방차
30,Roll Safe,#고전 #스테디,#반응짤,#관자놀이 #손가락 #미소 #검은남자 #꾀,#고전 #스테디 #반응짤 #관자놀이 #손가락 #미소 #검은남자 #꾀
31,Is This a Pigeon,#고전 #스테디,#포맷,#나비 #안경남자 #애니메이션 #손짓 #착각,#고전 #스테디 #포맷 #나비 #안경남자 #애니메이션 #손짓 #착각
32,Two Buttons,#고전 #스테디,#포맷,#빨간버튼 #두개버튼 #땀닦기 #슈퍼히어로,#고전 #스테디 #포맷 #빨간버튼 #두개버튼 #땀닦기 #슈퍼히어로
33,Gru's Plan,#고전 #스테디,#포맷,#대머리악당 #긴코 #계획판넘기기 #4컷 #당황,#고전 #스테디 #포맷 #대머리악당 #긴코 #계획판넘기기 #4컷 #당황
34,Sigma Male,#고전 #스테디,#조롱,#늑대 #혼자 #정장 #무표정 #자기계발,#고전 #스테디 #조롱 #늑대 #혼자 #정장 #무표정 #자기계발
35,POV Format,#스테디,#포맷 #틱톡,#1인칭시점 #상황극 #카메라응시,#스테디 #포맷 #틱톡 #1인칭시점 #상황극 #카메라응시
36,It's Gonna Be May,#고전 #스테디,#유명인,#저스틴팀버레이크 #엔싱크 #4월말 #발음드립,#고전 #스테디 #유명인 #저스틴팀버레이크 #엔싱크 #4월말 #발음드립
37,Krispy Kreme Crispy,#고전 #스테디,#영상,#도넛 #글레이즈 #브랜드드립,#고전 #스테디 #영상 #도넛 #글레이즈 #브랜드드립
38,Michael Scott No,#고전 #스테디,#반응짤,#소리치는상사 #노노노 #사무실 #더오피스,#고전 #스테디 #반응짤 #소리치는상사 #노노노 #사무실 #더오피스
39,Skibidi Toilet,#신상,#브레인롯 #GenAlpha,#변기 #사람머리 #CG애니 #군단,#신상 #브레인롯 #GenAlpha #변기 #사람머리 #CG애니 #군단
40,Hawk Tuah,#2024,#유행어 #영상,#카우보이모자? #금발 #길거리인터뷰 #침소리,#2024 #유행어 #영상 #카우보이모자? #금발 #길거리인터뷰 #침소리
41,Brat Summer,#2024,#음악 #라이프스타일,#형광연두 #라임그린 #앨범커버 #소문자,#2024 #음악 #라이프스타일 #형광연두 #라임그린 #앨범커버 #소문자
42,Very Demure Very Mindful,#2024,#유행어 #틱톡,#조신 #차분 #화장 #립싱크,#2024 #유행어 #틱톡 #조신 #차분 #화장 #립싱크
43,Moo Deng,#2024,#동물,#아기하마 #분홍볼 #물튀기기 #태국동물원,#2024 #동물 #아기하마 #분홍볼 #물튀기기 #태국동물원
44,AI Slop,#2024,#AI,#AI생성 #저품질 #이상한손가락 #대량생산,#2024 #AI #AI생성 #저품질 #이상한손가락 #대량생산
45,Looking at Wrist,#스테디,#반응짤,#손목보기 #시계없음 #기다림,#스테디 #반응짤 #손목보기 #시계없음 #기다림
46,Tralalero Tralala,#2025,#브레인롯 #AI,#상어 #파란나이키 #세다리 #AI캐릭터,#2025 #브레인롯 #AI #상어 #파란나이키 #세다리 #AI캐릭터
47,Tung Tung Tung Sahur,#2025,#브레인롯 #AI,#나무방망이 #북소리 #새벽 #AI캐릭터,#2025 #브레인롯 #AI #나무방망이 #북소리 #새벽 #AI캐릭터
48,Bombardiro Crocodilo,#2025,#브레인롯 #AI,#악어머리 #폭격기몸통 #비행 #AI캐릭터,#2025 #브레인롯 #AI #악어머리 #폭격기몸통 #비행 #AI캐릭터
49,Ballerina Cappuccina,#2025,#브레인롯 #AI,#커피잔머리 #발레복 #치마 #AI캐릭터,#2025 #브레인롯 #AI #커피잔머리 #발레복 #치마 #AI캐릭터
50,6-7,#2025,#유행어 #GenAlpha,#숫자 #틱톡사운드 #랩 #손짓,#2025 #유행어 #GenAlpha #숫자 #틱톡사운드 #랩 #손짓
51,Gurt: Yo,#2025,#틱톡,#인사 #요 #대답,#2025 #틱톡 #인사 #요 #대답
52,Adrian Explain Our Friend Group,#2025,#영상 #틱톡,#단체사진 #친구소개 #설명글,#2025 #영상 #틱톡 #단체사진 #친구소개 #설명글
53,Say You Swear,#2025,#AI #틱톡,#맹세 #약속 #새끼손가락,#2025 #AI #틱톡 #맹세 #약속 #새끼손가락
54,Papa Squid Game,#2025,#합성 #틱톡,#오징어게임 #분홍경비 #가면,#2025 #합성 #틱톡 #오징어게임 #분홍경비 #가면
55,Jet2Holiday,#2025,#사운드 #틱톡,#항공사 #광고음악 #휴가 #사고영상,#2025 #사운드 #틱톡 #항공사 #광고음악 #휴가 #사고영상
56,Clock Strikes 12,#2025,#사운드 #틱톡,#자정 #시계 #변신,#2025 #사운드 #틱톡 #자정 #시계 #변신
57,Dubai Chocolate,#2025,#음식 #틱톡,#초록속 #피스타치오 #카다이프 #판초콜릿,#2025 #음식 #틱톡 #초록속 #피스타치오 #카다이프 #판초콜릿
58,Gen Z Stare,#2025,#틱톡,#무표정 #멍한눈 #응시 #계산대,#2025 #틱톡 #무표정 #멍한눈 #응시 #계산대
59,Parker Posey White Lotus,#2025,#반응짤 #드라마,#리조트 #선글라스 #부자관광객,#2025 #반응짤 #드라마 #리조트 #선글라스 #부자관광객
60,Katy Perry Space,#2025,#반응짤 #유명인,#우주비행 #파란우주복 #무중력 #키스,#2025 #반응짤 #유명인 #우주비행 #파란우주복 #무중력 #키스
61,Kendrick Super Bowl,#2025,#음악 #스포츠,#슈퍼볼 #하프타임 #랩공연 #청바지,#2025 #음악 #스포츠 #슈퍼볼 #하프타임 #랩공연 #청바지
62,Bhad Bhabie Grandma,#2025,#반응짤 #유명인,#토크쇼 #할머니말투 #소녀,#2025 #반응짤 #유명인 #토크쇼 #할머니말투 #소녀
63,Home When You Left,#2025,#사운드 #틱톡,#집 #변한모습 #비교,#2025 #사운드 #틱톡 #집 #변한모습 #비교
64,Patrick Blank Exam,#2025,#반응짤,#백지시험지 #불가사리 #멍한표정 #분홍,#2025 #반응짤 #백지시험지 #불가사리 #멍한표정 #분홍
65,Nihilist Penguin,#2026,#반응짤 #감정,#펭귄 #파란배경 #허무 #명언,#2026 #반응짤 #감정 #펭귄 #파란배경 #허무 #명언
66,Ronaldo Chocolate Milk,#2026,#유명인 #틱톡,#초콜릿우유 #축구선수 #근육,#2026 #유명인 #틱톡 #초콜릿우유 #축구선수 #근육
67,Skyrim Skeleton,#2026,#게임 #틱톡,#해골 #게임 #스카이림 #모험,#2026 #게임 #틱톡 #해골 #게임 #스카이림 #모험
68,McDonald's CEO Burger,#2026,#영상 #틱톡,#햄버거 #맥도날드 #CEO #신메뉴,#2026 #영상 #틱톡 #햄버거 #맥도날드 #CEO #신메뉴
69,Homer Dropped His Donut,#2026,#사운드 #틱톡,#도넛떨어뜨림 #심슨 #노란캐릭터 #분홍도넛,#2026 #사운드 #틱톡 #도넛떨어뜨림 #심슨 #노란캐릭터 #분홍도넛
70,Stranger Things Mewing,#2026,#반응짤 #드라마,#넷플릭스 #턱선 #조용히,#2026 #반응짤 #드라마 #넷플릭스 #턱선 #조용히
71,Bad Bunny Super Bowl,#2026,#음악 #스포츠,#슈퍼볼 #하프타임 #라틴팝,#2026 #음악 #스포츠 #슈퍼볼 #하프타임 #라틴팝
72,It's Over 9000,#고전 #스테디,#유행어,#드래곤볼 #스카우터부수기 #베지터 #전투력측정,#고전 #스테디 #유행어 #드래곤볼 #스카우터부수기 #베지터 #전투력측정
73,Harambe,#고전 #스테디,#동물,#고릴라 #동물원 #추모 #검은털,#고전 #스테디 #동물 #고릴라 #동물원 #추모 #검은털
74,Press F to Pay Respects,#고전 #스테디,#게임,#장례식 #게임화면 #F키 #경의,#고전 #스테디 #게임 #장례식 #게임화면 #F키 #경의
75,Karen,#고전 #스테디,#캐릭터,#단발머리 #항의 #매니저찾기 #사이드컷,#고전 #스테디 #캐릭터 #단발머리 #항의 #매니저찾기 #사이드컷
76,Ancient Aliens Guy,#고전 #스테디,#반응짤,#부스스머리 #갈색양복 #외계인 #손벌리기,#고전 #스테디 #반응짤 #부스스머리 #갈색양복 #외계인 #손벌리기
77,Y U NO,#고전 #스테디,#반응짤,#막대기몸 #화난얼굴 #팔벌리기 #낙서,#고전 #스테디 #반응짤 #막대기몸 #화난얼굴 #팔벌리기 #낙서
78,Futurama Fry,#고전 #스테디,#포맷,#실눈 #주황머리 #빨간자켓 #의심,#고전 #스테디 #포맷 #실눈 #주황머리 #빨간자켓 #의심
79,I Can Has Cheezburger,#고전 #스테디,#동물,#회색고양이 #치즈버거 #입벌림 #옛날짤,#고전 #스테디 #동물 #회색고양이 #치즈버거 #입벌림 #옛날짤
80,Rage Comics,#고전 #스테디,#포맷,#낙서만화 #분노얼굴 #FFFUUU #웹코믹,#고전 #스테디 #포맷 #낙서만화 #분노얼굴 #FFFUUU #웹코믹
81,The Game,#고전 #스테디,#유행어,#게임 #생각하면짐 #머릿속,#고전 #스테디 #유행어 #게임 #생각하면짐 #머릿속
82,Chloe Side Eye,#고전 #스테디,#반응짤,#곁눈질 #차안 #여자아이 #떨떠름 #디즈니랜드,#고전 #스테디 #반응짤 #곁눈질 #차안 #여자아이 #떨떠름 #디즈니랜드
83,Keyboard Cat,#고전 #스테디,#동물,#피아노 #파란셔츠 #고양이연주 #퇴장음악,#고전 #스테디 #동물 #피아노 #파란셔츠 #고양이연주 #퇴장음악
84,Salt Bae,#고전 #스테디,#유명인,#소금뿌리기 #선글라스 #팔꿈치 #셰프 #흰티,#고전 #스테디 #유명인 #소금뿌리기 #선글라스 #팔꿈치 #셰프 #흰티
85,Crying Jordan,#고전 #스테디,#스포츠,#눈물얼굴 #농구선수 #합성 #패배,#고전 #스테디 #스포츠 #눈물얼굴 #농구선수 #합성 #패배
86,Arthur Fist,#고전 #스테디,#반응짤,#꽉쥔주먹 #노란스웨터 #안경 #참기,#고전 #스테디 #반응짤 #꽉쥔주먹 #노란스웨터 #안경 #참기
87,Tuxedo Winnie the Pooh,#고전 #스테디,#포맷,#턱시도 #곰돌이푸 #노란곰 #고급진표정,#고전 #스테디 #포맷 #턱시도 #곰돌이푸 #노란곰 #고급진표정
88,Bernie Mittens,#고전 #스테디,#합성,#벙어리장갑 #접이식의자 #갈색패딩 #팔짱 #취임식,#고전 #스테디 #합성 #벙어리장갑 #접이식의자 #갈색패딩 #팔짱 #취임식
89,Grimace Shake,#고전 #스테디,#영상,#보라색 #밀크셰이크 #맥도날드 #쓰러지기,#고전 #스테디 #영상 #보라색 #밀크셰이크 #맥도날드 #쓰러지기
90,Girl Dinner,#고전 #스테디,#음식,#간식접시 #치즈 #크래커 #소식 #한상,#고전 #스테디 #음식 #간식접시 #치즈 #크래커 #소식 #한상
91,Barbenheimer,#고전 #스테디,#포맷,#분홍 #폭발 #영화동시개봉 #바비 #오펜하이머,#고전 #스테디 #포맷 #분홍 #폭발 #영화동시개봉 #바비 #오펜하이머
92,Ohio,#고전 #스테디,#GenAlpha,#오하이오 #기괴함 #미국지도,#고전 #스테디 #GenAlpha #오하이오 #기괴함 #미국지도
93,Gyatt,#고전 #스테디,#GenAlpha,#감탄사 #엉덩이 #과장반응,#고전 #스테디 #GenAlpha #감탄사 #엉덩이 #과장반응
94,Fanum Tax,#고전 #스테디,#GenAlpha,#음식뺏기 #피자한입 #스트리머 #세금,#고전 #스테디 #GenAlpha #음식뺏기 #피자한입 #스트리머 #세금
95,Mewing,#고전 #스테디,#GenAlpha,#턱선 #혀입천장 #조용히제스처 #셀프관리,#고전 #스테디 #GenAlpha #턱선 #혀입천장 #조용히제스처 #셀프관리
96,Chill Guy,#고전 #스테디,#캐릭터,#갈색개 #회색맨투맨 #청바지 #빨간신발 #뒷짐 #무심,#고전 #스테디 #캐릭터 #갈색개 #회색맨투맨 #청바지 #빨간신발 #뒷짐 #무심
97,Just Put the Fries in the Bag,#고전 #스테디,#유행어,#감자튀김 #종이봉지 #드라이브스루 #변명그만,#고전 #스테디 #유행어 #감자튀김 #종이봉지 #드라이브스루 #변명그만
98,Delulu,#고전 #스테디,#유행어,#망상 #핑크빛 #긍정회로,#고전 #스테디 #유행어 #망상 #핑크빛 #긍정회로
99,It's Corn,#고전 #스테디,#영상,#옥수수 #소년인터뷰 #노란옥수수 #찬양,#고전 #스테디 #영상 #옥수수 #소년인터뷰 #노란옥수수 #찬양
100,Rizz,#고전 #스테디,#유행어,#매력 #작업멘트 #윙크,#고전 #스테디 #유행어 #매력 #작업멘트 #윙크
101,Left Exit 12 Off Ramp,#고전 #스테디,#포맷,#고속도로 #출구표지판 #급핸들 #흰트럭 #드리프트,#고전 #스테디 #포맷 #고속도로 #출구표지판 #급핸들 #흰트럭 #드리프트
102,UNO Draw 25 Cards,#고전 #스테디,#포맷,#우노카드 #카드게임 #빨간카드 #25장 #고집,#고전 #스테디 #포맷 #우노카드 #카드게임 #빨간카드 #25장 #고집
103,Running Away Balloon,#고전 #스테디,#포맷,#노란풍선 #회색인간 #분홍인간 #붙잡기 #놓침,#고전 #스테디 #포맷 #노란풍선 #회색인간 #분홍인간 #붙잡기 #놓침
104,Boardroom Meeting Suggestion,#고전 #스테디,#포맷,#회의실 #창밖던지기 #정장 #화이트보드,#고전 #스테디 #포맷 #회의실 #창밖던지기 #정장 #화이트보드
105,X X Everywhere,#고전 #스테디,#포맷,#버즈라이트이어 #우디 #우주복 #어깨동무 #토이스토리,#고전 #스테디 #포맷 #버즈라이트이어 #우디 #우주복 #어깨동무 #토이스토리
106,Epic Handshake,#고전 #스테디,#포맷,#팔뚝악수 #근육팔 #맞잡기 #프레데터,#고전 #스테디 #포맷 #팔뚝악수 #근육팔 #맞잡기 #프레데터
107,Sad Pablo Escobar,#고전 #스테디,#반응짤,#혼자서있기 #기다림 #수영장가 #그네 #쓸쓸함,#고전 #스테디 #반응짤 #혼자서있기 #기다림 #수영장가 #그네 #쓸쓸함
108,Inhaling Seagull,#고전 #스테디,#반응짤,#갈매기 #흰새 #고개들기 #숨들이쉬기 #절규직전,#고전 #스테디 #반응짤 #갈매기 #흰새 #고개들기 #숨들이쉬기 #절규직전
109,The Scroll Of Truth,#고전 #스테디,#포맷,#두루마리 #탐험가모자 #동굴 #던지기 #싫어,#고전 #스테디 #포맷 #두루마리 #탐험가모자 #동굴 #던지기 #싫어
110,Monkey Puppet,#고전 #스테디,#반응짤,#원숭이인형 #곁눈질 #입다뭄 #뜨끔 #일본인형극,#고전 #스테디 #반응짤 #원숭이인형 #곁눈질 #입다뭄 #뜨끔 #일본인형극
111,The Rock Driving,#고전 #스테디,#반응짤,#운전석 #백미러 #홱돌아보기 #놀란눈 #근육남,#고전 #스테디 #반응짤 #운전석 #백미러 #홱돌아보기 #놀란눈 #근육남
112,Y'all Got Any More Of That,#고전 #스테디,#반응짤,#볼긁기 #후드티 #갈망 #떨림,#고전 #스테디 #반응짤 #볼긁기 #후드티 #갈망 #떨림
113,Marked Safe From,#고전 #스테디,#포맷,#페이스북알림 #파란체크 #안전확인,#고전 #스테디 #포맷 #페이스북알림 #파란체크 #안전확인
114,The Most Interesting Man In The World,#고전 #스테디,#포맷,#맥주병 #수염신사 #건배 #바 #광고,#고전 #스테디 #포맷 #맥주병 #수염신사 #건배 #바 #광고
115,Oprah You Get A,#고전 #스테디,#포맷,#소리치기 #관객석 #손가락질 #나눠주기 #토크쇼,#고전 #스테디 #포맷 #소리치기 #관객석 #손가락질 #나눠주기 #토크쇼
116,Third World Skeptical Kid,#고전 #스테디,#반응짤,#눈썹치켜올림 #의심표정 #아프리카소년 #흰옷여자,#고전 #스테디 #반응짤 #눈썹치켜올림 #의심표정 #아프리카소년 #흰옷여자
117,American Chopper Argument,#고전 #스테디,#포맷,#삿대질 #고함 #오토바이정비소 #아빠와아들 #5컷,#고전 #스테디 #포맷 #삿대질 #고함 #오토바이정비소 #아빠와아들 #5컷
118,They're The Same Picture,#고전 #스테디,#포맷,#두장의사진 #비교 #사무실책상 #팸 #더오피스,#고전 #스테디 #포맷 #두장의사진 #비교 #사무실책상 #팸 #더오피스
119,I Bet He's Thinking About Other Women,#고전 #스테디,#포맷,#침대커플 #등돌린남자 #생각풍선 #엉뚱한고민,#고전 #스테디 #포맷 #침대커플 #등돌린남자 #생각풍선 #엉뚱한고민
120,First World Problems,#고전 #스테디,#반응짤,#우는여자 #눈물 #손으로얼굴 #배부른고민,#고전 #스테디 #반응짤 #우는여자 #눈물 #손으로얼굴 #배부른고민
121,Trump Bill Signing,#고전 #스테디,#포맷,#서명문서 #들어보이기 #검은가죽폴더 #기자회견,#고전 #스테디 #포맷 #서명문서 #들어보이기 #검은가죽폴더 #기자회견
122,This Is Where I'd Put My Trophy If I Had One,#고전 #스테디,#포맷,#빈진열장 #가리키기 #패어리페어런츠 #트로피없음,#고전 #스테디 #포맷 #빈진열장 #가리키기 #패어리페어런츠 #트로피없음
123,Unsettled Tom,#고전 #스테디,#반응짤,#톰과제리 #억지미소 #곁눈질 #회색고양이 #불안,#고전 #스테디 #반응짤 #톰과제리 #억지미소 #곁눈질 #회색고양이 #불안
124,Anakin Padme 4 Panel,#고전 #스테디,#포맷,#꽃밭 #소풍 #웃는여자 #굳은표정 #4컷 #스타워즈,#고전 #스테디 #포맷 #꽃밭 #소풍 #웃는여자 #굳은표정 #4컷 #스타워즈
125,Star Wars Yoda,#고전 #스테디,#포맷,#초록외계인 #큰귀 #지팡이 #도치어법,#고전 #스테디 #포맷 #초록외계인 #큰귀 #지팡이 #도치어법
126,Bike Fall,#고전 #스테디,#포맷,#자전거 #막대기꽂기 #넘어지기 #3컷 #자업자득,#고전 #스테디 #포맷 #자전거 #막대기꽂기 #넘어지기 #3컷 #자업자득
127,Who Killed Hannibal,#고전 #스테디,#포맷,#총쏘기 #연기 #토크쇼세트 #시치미 #에릭안드레,#고전 #스테디 #포맷 #총쏘기 #연기 #토크쇼세트 #시치미 #에릭안드레
128,That Would Be Great,#고전 #스테디,#포맷,#커피잔 #안경 #멜빵 #상사 #칸막이사무실,#고전 #스테디 #포맷 #커피잔 #안경 #멜빵 #상사 #칸막이사무실
129,Brace Yourselves X Is Coming,#고전 #스테디,#포맷,#장검 #모피망토 #수염 #겨울이온다 #왕좌의게임,#고전 #스테디 #포맷 #장검 #모피망토 #수염 #겨울이온다 #왕좌의게임
130,Spongebob Ight Imma Head Out,#고전 #스테디,#반응짤,#의자에서일어나기 #스폰지밥 #지친표정 #이만간다,#고전 #스테디 #반응짤 #의자에서일어나기 #스폰지밥 #지친표정 #이만간다
131,Clown Applying Makeup,#고전 #스테디,#포맷,#광대분장 #빨간코 #가발 #화장단계 #4컷,#고전 #스테디 #포맷 #광대분장 #빨간코 #가발 #화장단계 #4컷
132,But That's None Of My Business,#고전 #스테디,#반응짤,#케르밋 #립톤홍차 #홀짝 #창가 #능청,#고전 #스테디 #반응짤 #케르밋 #립톤홍차 #홀짝 #창가 #능청
133,Creepy Condescending Wonka,#고전 #스테디,#반응짤,#보라모자 #보라자켓 #턱괴기 #능글미소 #초콜릿공장,#고전 #스테디 #반응짤 #보라모자 #보라자켓 #턱괴기 #능글미소 #초콜릿공장
134,X All The Y,#고전 #스테디,#포맷,#막대인간 #주먹치켜들기 #낙서체 #외침,#고전 #스테디 #포맷 #막대인간 #주먹치켜들기 #낙서체 #외침
135,Don't You Squidward,#고전 #스테디,#반응짤,#창문엿보기 #징징이 #부러움 #스폰지밥,#고전 #스테디 #반응짤 #창문엿보기 #징징이 #부러움 #스폰지밥
136,Laughing Leo,#고전 #스테디,#반응짤,#잔들고웃기 #가운 #폭소 #디카프리오 #장고,#고전 #스테디 #반응짤 #잔들고웃기 #가운 #폭소 #디카프리오 #장고
137,Sleeping Shaq,#고전 #스테디,#반응짤,#자는얼굴 #번쩍눈뜸 #2컷 #농구선수 #무관심관심,#고전 #스테디 #반응짤 #자는얼굴 #번쩍눈뜸 #2컷 #농구선수 #무관심관심
138,Captain Picard Facepalm,#고전 #스테디,#반응짤,#이마짚기 #대머리 #빨간유니폼 #한숨 #스타트렉,#고전 #스테디 #반응짤 #이마짚기 #대머리 #빨간유니폼 #한숨 #스타트렉
139,Philosoraptor,#고전 #스테디,#포맷,#초록공룡 #랩터 #발톱턱괴기 #사색,#고전 #스테디 #포맷 #초록공룡 #랩터 #발톱턱괴기 #사색
140,Matrix Morpheus,#고전 #스테디,#포맷,#둥근선글라스 #가죽코트 #대머리 #빨간약파란약,#고전 #스테디 #포맷 #둥근선글라스 #가죽코트 #대머리 #빨간약파란약
141,Evil Toddler,#고전 #스테디,#반응짤,#아기음흉미소 #주먹 #계략 #모래놀이,#고전 #스테디 #반응짤 #아기음흉미소 #주먹 #계략 #모래놀이
142,Megamind Peeking,#고전 #스테디,#반응짤,#파란얼굴 #큰대머리 #빼꼼 #문틈 #조롱,#고전 #스테디 #반응짤 #파란얼굴 #큰대머리 #빼꼼 #문틈 #조롱
143,Third World Success Kid,#고전 #스테디,#반응짤,#아프리카아이 #웃는얼굴 #반어,#고전 #스테디 #반응짤 #아프리카아이 #웃는얼굴 #반어
144,Y U No,#고전 #스테디,#반응짤,#막대기몸 #찡그린얼굴 #팔뻗기 #항의,#고전 #스테디 #반응짤 #막대기몸 #찡그린얼굴 #팔뻗기 #항의
145,Black Girl Wat,#고전 #스테디,#반응짤,#어리둥절 #찡그림 #할머니안경 #뭐라고,#고전 #스테디 #반응짤 #어리둥절 #찡그림 #할머니안경 #뭐라고
146,Grandma Finds The Internet,#고전 #스테디,#반응짤,#할머니 #옛날컴퓨터 #브라운관모니터 #놀란표정,#고전 #스테디 #반응짤 #할머니 #옛날컴퓨터 #브라운관모니터 #놀란표정
147,Finding Neverland,#고전 #스테디,#반응짤,#소파 #울음 #위로 #조니뎁 #아이,#고전 #스테디 #반응짤 #소파 #울음 #위로 #조니뎁 #아이
148,Spider-Man Pointing,#고전 #스테디,#포맷,#스파이더맨둘 #서로가리키기 #빨간슈트 #판박이,#고전 #스테디 #포맷 #스파이더맨둘 #서로가리키기 #빨간슈트 #판박이
149,Where Monkey,#고전 #스테디,#반응짤,#원숭이 #두리번 #찾기,#고전 #스테디 #반응짤 #원숭이 #두리번 #찾기
150,I Should Buy A Boat Cat,#고전 #스테디,#반응짤,#고양이 #신문읽기 #식탁 #보트 #진지,#고전 #스테디 #반응짤 #고양이 #신문읽기 #식탁 #보트 #진지
